,l,psi
132,1084,0.0006914022013713461
133,63,0.000659431978535228
134,204,0.0006503198745589964
135,192,0.000645690737833595
136,414,0.0006319262531207989
137,75,0.0006194040694789082
138,146,0.000615069584072541
139,112,0.0005716006724683543
140,89,0.0005894740806819309
141,89,0.0005894740806819309
142,95,0.0006141499752352651
143,174,0.0006369032828779242
144,1058,0.0006150793995297522
145,138,0.0005612527125665811
146,17,0.000371759009683538
147,17,0.000371759009683538
148,14,0.0002699618534052327
149,547,0.0005651607092064094
150,151,0.0004778027780514235
151,208,0.0003812547021943574
152,546,0.0004590438080788925
153,361,0.00023093060515394265
154,359,0.0004563052418187084
155,359,0.0004563052418187084
156,1343,0.0004723438243850833
157,413,0.0004954272543935465
158,128,0.0005093684834123223
159,128,0.0005093684834123223
160,79,0.0005348717134636374
161,307,0.00042958552440089257
162,307,0.00042958552440089257
163,98,0.00033970291146761736
164,150,0.0006172413793103449
165,108,0.0007295045508508112
166,447,0.0008709120321623433
167,103,0.0009006188260912601
168,23,0.000821802653896039
169,378,0.0007936912699942184
170,39,0.0006878509811734236
171,39,0.0006878509811734236
172,156,0.0004392475384009453
173,142,0.0006404791954249655
174,116,0.0005320624752866745
175,50,0.0006300919402985074
176,189,0.0007121008931200315
177,871,0.0007405304019869378
178,604,0.0006876539041870992
179,140,0.0007865581854043393
180,285,0.0006958879922216822
181,204,0.0007061579772638181
182,145,0.0006770551010349925
183,660,0.0006443455909943714
184,241,0.0006228694463431306
185,193,0.0005941960168743255
186,398,0.0005824812463935372
187,206,0.0005829059376837154
188,30,0.00047078823529411766
189,283,0.0004999585724010503
190,178,0.00047765631754765177
191,168,0.0003970291109362706
192,110,0.00045831355093966364
193,120,0.000537344466403162
194,125,0.0005370791111111111
195,1437,0.0006095497070910203
196,24,0.0005982537909018355
197,375,0.0005233258795180722
198,123,0.0004310129408278179
199,123,0.0004310129408278179
200,157,0.000533078664960126
201,174,0.0009301472380577945
202,22,0.0008617521452803833
203,83,0.00085653872855301
204,83,0.0007043677476941386
205,439,0.0005318948175112559
206,214,0.0006675198746818093
207,214,0.0006675198746818093
208,357,0.0006930190209520131
209,135,0.0006050147015293537
210,8,0.0005914374500399681
211,29,0.000540212184664473
212,136,0.0005876081294396211
213,563,0.0006112545678311086
214,563,0.0006112545678311086
215,1031,0.0005766269603843713
216,112,0.0006290320411392406
217,61,0.000623677964417056
218,285,0.0007602366553232863
219,785,0.000639372832637923
220,68,0.0006458077075883989
221,68,0.0006458077075883989
222,190,0.0006469909715407262
223,245,0.0006042469497315764
224,81,0.0005184463842872731
225,374,0.0006644933487565067
226,111,0.0006817776678864603
227,501,0.0010003433958670602
228,549,0.0009957916390179163
229,140,0.0009673739644970415
230,25,0.0009784710224438904
231,91,0.0009694087801010801
232,146,0.0009794849201655823
233,585,0.000996828341993387
234,494,0.00082921269296741
235,236,0.0006929701055099648
236,15,0.000706048327508737
