obs_start,obs_end,length,iteration,ind_idx,distribution
662904,662908,5,0,48701,geom
9705094,9705094,1,0,120898,geom
4375503,4375503,1,0,120898,geom
3525305,3525305,1,0,120898,geom
458616,458616,1,0,89532,geom
4375503,4375503,1,0,117152,geom
8288485,8288485,1,0,30965,geom
3946021,3946021,1,0,1907,geom
6324381,6324381,1,0,91539,geom
3787364,3787364,1,0,91539,geom
3937023,3937023,1,0,20019,geom
242009,242009,1,0,20019,geom
9633290,9633290,1,0,20019,geom
7556423,7556423,1,0,5529,geom
1020417,1020417,1,0,43549,geom
5368769,5368769,1,0,43549,geom
9538699,9538699,1,0,24672,geom
8617833,8617833,1,0,69576,geom
9851994,9851994,1,0,88813,geom
5155565,5155565,1,0,56977,geom
4889156,4889156,1,0,56977,geom
5587135,5587135,1,0,114914,geom
4497358,4497358,1,0,45452,geom
8196560,8196560,1,0,107794,geom
8183303,8183303,1,0,115940,geom
1005463,1005463,1,0,37632,geom
3510664,3510664,1,0,90013,geom
4884725,4884725,1,0,90013,geom
2605583,2605583,1,0,121378,geom
6463842,6463842,1,0,57821,geom
9892520,9892520,1,0,44547,geom
1551517,1551517,1,0,44547,geom
425449,425449,1,0,124903,geom
6673128,6673128,1,0,53241,geom
6062738,6062738,1,0,53241,geom
7207367,7207367,1,0,53241,geom
8370867,8370867,1,0,114484,geom
9973877,9973877,1,0,119975,geom
312381,312381,1,0,119975,geom
8312278,8312278,1,0,101871,geom
5187721,5187721,1,0,78034,geom
1485809,1485809,1,0,32634,geom
9199008,9199008,1,0,68349,geom
3097962,3097962,1,0,54750,geom
9849263,9849263,1,0,94802,geom
3707387,3707387,1,0,41614,geom
1317409,1317409,1,0,101515,geom
6543672,6543672,1,0,74666,geom
1496440,1496440,1,0,74666,geom
275979,275979,1,0,14231,geom
3825485,3825485,1,0,114628,geom
4492492,4492492,1,0,114628,geom
8478099,8478099,1,0,115384,geom
3134873,3134873,1,0,121720,geom
9288447,9288447,1,0,58889,geom
6545002,6545002,1,0,102824,geom
6549529,6549529,1,0,102824,geom
2317141,2317141,1,0,102824,geom
4216420,4216420,1,0,70570,geom
1341143,1341143,1,0,70570,geom
7119242,7119242,1,0,107593,geom
4839078,4839078,1,0,107593,geom
674095,674095,1,0,28236,geom
4767584,4767584,1,0,28236,geom
5874338,5874338,1,0,33237,geom
2921727,2921727,1,0,33237,geom
2404911,2404911,1,0,88646,geom
736118,736118,1,0,88646,geom
768527,768527,1,0,102038,geom
1080259,1080259,1,0,108000,geom
2433573,2433573,1,0,9009,geom
7950707,7950707,1,0,9009,geom
6461956,6461956,1,0,9009,geom
3367509,3367509,1,0,88322,geom
2303624,2303624,1,0,88322,geom
8110237,8110237,1,0,88322,geom
5508882,5508882,1,0,66364,geom
7178069,7178069,1,0,66364,geom
6369965,6369965,1,0,122742,geom
5659894,5659894,1,0,122742,geom
3787223,3787223,1,0,21031,geom
7816915,7816915,1,0,39531,geom
1916850,1916850,1,0,96024,geom
1469240,1469240,1,0,54533,geom
6413205,6413205,1,0,54533,geom
6155678,6155678,1,0,76080,geom
3925975,3925975,1,0,76080,geom
5619350,5619350,1,0,32815,geom
8874883,8874883,1,0,14395,geom
129422,129422,1,0,8542,geom
583860,583860,1,0,8542,geom
1975041,1975041,1,0,43477,geom
9889767,9889767,1,0,43477,geom
2645974,2645983,10,0,94405,geom
3239043,3239043,1,0,94405,geom
9367562,9367562,1,0,108185,geom
4564587,4564587,1,0,41533,geom
1837533,1837533,1,0,41533,geom
3988320,3988320,1,0,41533,geom
6034026,6034026,1,0,51521,geom
8820574,8820574,1,0,121308,geom
2757750,2757750,1,0,63072,geom
9679113,9679113,1,0,9999,geom
5136618,5136618,1,0,53143,geom
1795151,1795151,1,0,112116,geom
2040218,2040218,1,0,112116,geom
5633637,5633637,1,0,2581,geom
5021371,5021371,1,0,75736,geom
9743823,9743823,1,0,75736,geom
9420151,9420151,1,0,71515,geom
1370373,1370373,1,0,71515,geom
